date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:31	3588/3588	---MCZ	200	added ('OK')	font/ttf	etag:W/%22e04-572a5a6133440%22	https://preview.colorlib.com/theme/beckham/fonts/flaticon/font/Flaticon.ttf	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:32	17226/17226	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22434a-572a5a603f200%22	https://preview.colorlib.com/theme/beckham/fonts/flaticon/font/Flaticon.svg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:32	307332/307332	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224b084-572a5a3278600%22	https://preview.colorlib.com/theme/beckham/fonts/icomoon/icomoon.eot?6tt51o	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/icomoon/icomoonccfb.eot	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:34	307168/307168	---MCZ	200	added ('OK')	font/ttf	etag:W/%224afe0-572a5a3554cc0%22	https://preview.colorlib.com/theme/beckham/fonts/icomoon/icomoon.ttf?6tt51o	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/icomoon/icomoonccfb.ttf	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:38	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e45ad-572a5a3554cc0%22	https://preview.colorlib.com/theme/beckham/fonts/icomoon/icomoon.svg?6tt51o	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/icomoon/icomoonccfb.svg	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:39	132680/132680	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/beckham/css/A.open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css,Mcc.uGRHPAI1lo.css.pagespeed.cf.wDenBQ9yiF.css	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/css/A.open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jqu	(from https://preview.colorlib.com/theme/beckham/index.html)
16:13:40	13530/13530	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2010:43:40%20GMT	https://preview.colorlib.com/theme/beckham/blog-single.html	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/blog-single.html	(from https://preview.colorlib.com/theme/beckham/blog.html)
16:13:41	105709/105709	---M--	200	added ('OK')	image/jpeg	etag:%2219ced-572a59ebe5f80%22	https://preview.colorlib.com/theme/beckham/images/image_1.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/image_1.jpg	(from https://preview.colorlib.com/theme/beckham/blog.html)
16:13:42	115624/115624	---M--	200	added ('OK')	image/jpeg	etag:%221c3a8-572a59ecda1c0%22	https://preview.colorlib.com/theme/beckham/images/image_2.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/image_2.jpg	(from https://preview.colorlib.com/theme/beckham/blog.html)
16:13:43	98867/98867	---M--	200	added ('OK')	image/jpeg	etag:%2218233-572a59edce400%22	https://preview.colorlib.com/theme/beckham/images/image_3.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/image_3.jpg	(from https://preview.colorlib.com/theme/beckham/blog.html)
16:13:44	54902/54902	---M--	200	added ('OK')	image/jpeg	etag:%22d676-572a59eec2640%22	https://preview.colorlib.com/theme/beckham/images/image_4.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/image_4.jpg	(from https://preview.colorlib.com/theme/beckham/blog.html)
16:13:45	54480/54480	---M--	200	added ('OK')	image/jpeg	etag:%22d4d0-572a59efb6880%22	https://preview.colorlib.com/theme/beckham/images/image_5.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/image_5.jpg	(from https://preview.colorlib.com/theme/beckham/blog.html)
16:13:45	307244/307244	---M--	200	added ('OK')	font/woff	etag:%224b02c-572a5a3831380%22	https://preview.colorlib.com/theme/beckham/fonts/icomoon/icomoon.woff?6tt51o	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/fonts/icomoon/icomoonccfb.woff	(from https://preview.colorlib.com/theme/beckham/css/open-iconic-bootstrap.min.css+animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+aos.css+ionicons.min.css+bootstrap-datepicker.css+jquery.timepicker.css+flaticon.css+icomoon.css+style.css.pagespeed.cc.uGRHPAI1lo.css)
16:13:46	14195/14195	---M--	200	added ('OK')	image/jpeg	etag:%223773-572a59efb6880%22	https://preview.colorlib.com/theme/beckham/images/image_6.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/image_6.jpg	(from https://preview.colorlib.com/theme/beckham/blog.html)
16:13:46	13145/13145	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/beckham/images/ximage_6.jpg.pagespeed.ic.BDakW5gyt8.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/ximage_6.jpg.pagespeed.ic.BDakW5gyt8.jpg	(from https://preview.colorlib.com/theme/beckham/blog-single.html)
16:13:47	483/483	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20May%202021%2010:43:47%20GMT	https://preview.colorlib.com/theme/beckham/images/image_8.jpg	/Users/utkarsh/websites/portfolio/preview.colorlib.com/theme/beckham/images/image_8.jpg	(from https://preview.colorlib.com/theme/beckham/blog-single.html)
